#accuracy_tdma.dat
# Communication times
# slots(alloc) DTx(L0)  WCCT(L0) 	WCCT(L1) WCCT(L2)
1	150312.5 	160312.500	160500	170000
2	70812.5 	80312.500	80500 	90000
3	50312.5 	59312.500	59500 	70000
4	31812.5 	40312.500	40500 	50000
5	30312.5 	38312.500	38500 	50000
6	21812.5 	29312.500	29500 	40000
7	20812.5 	27812.500	28000 	40000
8	13812.5 	20312.500	20500 	30000
9	13312.5 	19312.500	19500 	30000
10	12812.5 	18312.500	18500 	30000
11	12312.5 	17312.500	17500 	30000
12	11812.5 	16312.500	16500 	30000
13	11312.5 	15312.500	15500 	30000
14	10812.5 	14312.500	14500 	30000
15	10312.5 	13312.500	13500 	30000
16	7812.5	 	10312.500	10500 	20000
17	7812.5	 	9812.500	10000	20000
18	7812.5	 	9312.500	9500 	20000
19	7812.5	 	8812.500	9000	20000
20	7812.5	 	8312.500	8500 	20000

# Assessment of accuracy levels on TDMA bus. Configuration
# #slots | slot time (ns) | payload/slot (bits) | TDMA cycle (us) | Message size (bits) | # slots allocated range
# 20	500	64	10	1000	20



